stimulus,rt,response,accuracy
fixation,0.500034599972423,99,0
603,1,99,0
fixation,0.500018999970052,99,0
602,1,99,0
fixation,0.500132399960421,99,0
604,1,99,0
fixation,0.500056499964558,99,0
605,1,99,0
fixation,0.500053099996876,99,0
605,1,99,0
fixation,0.500151599990204,99,0
605,1,99,0
fixation,0.5007115000044,99,0
604,1,99,0
fixation,0.50004389998503,99,0
343,1,99,0
fixation,0.500032800016925,99,0
603,1,99,0
fixation,0.500067099987064,99,0
313,1,99,0
fixation,0.50007149996236,99,0
606,1,99,0
fixation,0.500069299945608,99,0
600,1,99,0
fixation,0.500005599984434,99,0
602,1,99,0
fixation,0.500072399969213,99,0
607,1,99,0
fixation,0.500103999977,99,0
600,1,99,0
fixation,0.500156900030561,99,0
518,1,99,0
fixation,0.500006999995094,99,0
607,1,99,0
fixation,0.500134899979457,99,0
600,1,99,0
fixation,0.50014060002286,99,0
600,1,99,0
fixation,0.500128700048663,99,0
601,1,99,0
fixation,0.500008600007277,99,0
607,1,99,0
fixation,0.500151899992488,99,0
601,1,99,0
fixation,0.500154300010763,99,0
579,1,99,0
fixation,0.500149500032421,99,0
600,1,99,0
fixation,0.500014699995518,99,0
609,1,99,0
fixation,0.500131500011776,99,0
600,1,99,0
fixation,0.500069699948654,99,0
609,1,99,0
fixation,0.500097699987236,99,0
608,1,99,0
fixation,0.500140300020576,99,0
607,1,99,0
fixation,0.500166300043929,99,0
600,1,99,0
fixation,0.500075599993579,99,0
600,1,99,0
fixation,0.500018500024453,99,0
146,1,99,0
fixation,0.500112899986561,99,0
427,1,99,0
fixation,0.500019299972337,99,0
609,1,99,0
fixation,0.500335299992003,99,0
603,1,99,0
fixation,0.500066399981733,99,0
604,1,99,0
fixation,0.500093100010417,99,0
605,1,99,0
fixation,0.500122800003737,99,0
606,1,99,0
fixation,0.500103799975477,99,0
605,1,99,0
fixation,0.500526899995748,99,0
486,1,99,0
fixation,0.500152900000103,99,0
600,1,99,0
fixation,0.500027900037821,99,0
603,1,99,0
fixation,0.500009800016414,99,0
605,1,99,0
fixation,0.500073999981396,99,0
329,1,99,0
fixation,0.500124800018966,99,0
607,1,99,0
fixation,0.500450399995316,99,0
602,1,99,0
fixation,0.500092400005087,99,0
605,1,99,0
fixation,0.50011090002954,99,0
259,1,99,0
fixation,0.500083199993242,99,0
558,1,99,0
fixation,0.500047000008635,99,0
354,1,99,0
fixation,0.500053900002968,99,0
606,1,99,0
fixation,0.500097999989521,99,0
605,1,99,0
fixation,0.50013320002472,99,0
600,1,99,0
fixation,0.500040900020394,99,0
609,1,99,0
fixation,0.499999599996954,99,0
604,1,99,0
fixation,0.500073400035035,99,0
605,1,99,0
fixation,0.500006599992048,99,0
603,1,99,0
fixation,0.500140300020576,99,0
609,1,99,0
fixation,0.500129399995785,99,0
608,1,99,0
fixation,0.500140400021337,99,0
111,1,99,0
fixation,0.500065300031565,99,0
600,1,99,0
fixation,0.500058999983594,99,0
604,1,99,0
fixation,0.499999599996954,99,0
600,1,99,0
fixation,0.500149600033183,99,0
601,1,99,0
fixation,0.500054499949329,99,0
607,1,99,0
fixation,0.50006770004984,99,0
601,1,99,0
fixation,0.500017499958631,99,0
396,1,99,0
fixation,0.500029499991797,99,0
600,1,99,0
fixation,0.500101300014649,99,0
603,1,99,0
fixation,0.500056200020481,99,0
606,1,99,0
fixation,0.500256899977103,99,0
609,1,99,0
fixation,0.500059200043324,99,0
604,1,99,0
fixation,0.500550099997781,99,0
604,1,99,0
fixation,0.500085600011516,99,0
604,1,99,0
fixation,0.500147600017954,99,0
231,1,99,0
fixation,0.500124800018966,99,0
603,1,99,0
fixation,0.500073699979112,99,0
609,1,99,0
fixation,0.500010500021745,99,0
600,1,99,0
fixation,0.500147900020238,99,0
607,1,99,0
fixation,0.50004060001811,99,0
609,1,99,0
fixation,0.50004389998503,99,0
605,1,99,0
fixation,0.49999859998934,99,0
601,1,99,0
fixation,0.500090299989097,99,0
600,1,99,0
fixation,0.500011400028598,99,0
183,1,99,0
fixation,0.500118499970995,99,0
600,1,99,0
fixation,0.500082199985627,99,0
606,1,99,0
fixation,0.500100500008557,99,0
603,1,99,0
fixation,0.500041599967517,99,0
532,1,99,0
fixation,0.500002399960067,99,0
606,1,99,0
fixation,0.500060199992731,99,0
600,1,99,0
fixation,0.500097700045444,99,0
600,1,99,0
fixation,0.500013999990188,99,0
607,1,99,0
fixation,0.500127799983602,99,0
600,1,99,0
fixation,0.500009899958968,99,0
134,1,99,0
fixation,0.500116899958812,99,0
600,1,99,0
fixation,0.500139999960084,99,0
609,1,99,0
fixation,0.500055199954659,99,0
602,1,99,0
fixation,0.500144099991303,99,0
609,1,99,0
fixation,0.500130900007207,99,0
608,1,99,0
fixation,0.500019200029783,99,0
608,1,99,0
fixation,0.500113999994937,99,0
609,1,99,0
fixation,0.500070600013714,99,0
603,1,99,0
fixation,0.500071699963883,99,0
609,1,99,0
fixation,0.500088399974629,99,0
600,1,99,0
fixation,0.500051699986216,99,0
602,1,99,0
fixation,0.500058599980548,99,0
592,1,99,0
fixation,0.500017000013031,99,0
608,1,99,0
fixation,0.50011349999113,99,0
606,1,99,0
fixation,0.500039600010496,99,0
225,1,99,0
fixation,0.500146900012624,99,0
604,1,99,0
fixation,0.500148099963553,99,0
609,1,99,0
fixation,0.500028199981898,99,0
600,1,99,0
fixation,0.500066099979449,99,0
608,1,99,0
fixation,0.500055900018197,99,0
603,1,99,0
fixation,0.500035899982322,99,0
293,1,99,0
fixation,0.500124200014398,99,0
600,1,99,0
fixation,0.500006699992809,99,0
421,1,99,0
fixation,0.500085399951786,99,0
574,1,99,0
fixation,0.50008309999248,99,0
601,1,99,0
fixation,0.500138700008392,99,0
600,1,99,0
fixation,0.500101100013126,99,0
601,1,99,0
fixation,0.500065299973357,99,0
605,1,99,0
fixation,0.500051699986216,99,0
544,1,99,0
fixation,0.500150999985635,99,0
600,1,99,0
fixation,0.500105799990706,99,0
463,1,99,0
fixation,0.500069899950176,99,0
607,1,99,0
fixation,0.500015600002371,99,0
606,1,99,0
fixation,0.500032100011595,99,0
600,1,99,0
fixation,0.500099600001704,99,0
608,1,99,0
fixation,0.50010070001008,99,0
600,1,99,0
fixation,0.500095499970485,99,0
609,1,99,0
fixation,0.500108600012027,99,0
456,1,99,0
fixation,0.500112899986561,99,0
604,1,99,0
fixation,0.500059400044847,99,0
601,1,99,0
fixation,0.500011900032405,99,0
600,1,99,0
fixation,0.5001215999946,99,0
601,1,99,0
fixation,0.500089599983767,99,0
600,1,99,0
fixation,0.50000140001066,99,0
604,1,99,0
fixation,0.500081399979535,99,0
274,1,99,0
fixation,0.50011679995805,99,0
600,1,99,0
fixation,0.500090299989097,99,0
369,1,99,0
fixation,0.50010469998233,99,0
605,1,99,0
fixation,0.500104899983853,99,0
608,1,99,0
fixation,0.500001900014468,99,0
607,1,99,0
fixation,0.500148500024807,99,0
600,1,99,0
fixation,0.500112299981993,99,0
457,1,99,0
fixation,0.500068800000008,99,0
602,1,99,0
fixation,0.500147799961269,99,0
602,1,99,0
fixation,0.500086200016085,99,0
608,1,99,0
fixation,0.500046500004828,99,0
607,1,99,0
fixation,0.500131000007968,99,0
607,1,99,0
fixation,0.500074699986726,99,0
609,1,99,0
fixation,0.500050099974032,99,0
606,1,99,0
