stimulus,response,rt,accuracy
fixation,99,0.500013400014723,0
603,99,1,0
fixation,99,0.500152199994773,0
609,99,1,0
fixation,99,0.500042400002712,0
608,99,1,0
fixation,99,0.500111400004243,0
600,1,0.521788899990497,0
fixation,99,0.97954000000027,0
453,99,1,0
fixation,99,0.500064299994847,0
602,99,1,0
fixation,99,0.500037999998312,0
606,99,1,0
fixation,99,0.5000652000017,0
135,99,1,0
fixation,99,0.501316900015809,0
582,99,1,0
fixation,99,0.50002740000491,0
602,99,1,0
fixation,99,0.500164999975823,0
600,1,0.496770400000969,0
fixation,99,1.00381959998049,0
121,99,1,0
fixation,99,0.50000229998841,0
541,99,1,0
fixation,99,0.500092100002803,0
606,99,1,0
fixation,99,0.500065800006269,0
191,99,1,0
fixation,99,0.500175199995283,0
606,99,1,0
fixation,99,0.500169400009327,0
606,99,1,0
fixation,99,0.500154000008479,0
605,99,1,0
fixation,99,0.500027100002626,0
600,1,0.506681900005788,0
fixation,99,0.993519300012849,0
600,1,0.454924200021196,0
fixation,99,1.04621760000009,0
184,99,1,0
fixation,99,0.500221499998588,0
604,99,1,0
fixation,99,0.500069999980042,0
601,99,1,0
fixation,99,0.500019600003725,0
235,99,1,0
fixation,99,0.500011300027836,0
609,99,1,0
fixation,99,0.499999799998477,0
529,99,1,0
fixation,99,0.500093000009656,0
606,99,1,0
fixation,99,0.500143900018884,0
603,99,1,0
fixation,99,0.5000044000044,0
605,99,1,0
fixation,99,0.500153700006194,0
603,99,1,0
fixation,99,0.500810600002296,0
600,1,0.519448000006378,0
fixation,99,0.980727799993474,0
601,99,1,0
fixation,99,0.500818000000436,0
167,99,1,0
fixation,99,0.500113099988084,0
602,99,1,0
fixation,99,0.500841200002469,0
609,99,1,0
fixation,99,0.500084400002379,0
600,1,0.475790500000585,0
fixation,99,1.02440580000984,0
600,1,0.51369279998471,0
fixation,99,0.986509400012437,0
600,1,0.884455899999011,0
fixation,99,0.615722099988488,0
605,99,1,0
fixation,99,0.500010899995686,0
603,99,1,0
fixation,99,0.500076199998148,0
600,99,1,0
fixation,99,0.500110699998913,0
600,1,0.530082100012805,0
fixation,99,0.970241700008046,0
600,99,1,0
fixation,99,0.500660300021991,0
606,99,1,0
fixation,99,0.500100599980215,0
600,1,0.470843099988997,0
fixation,99,1.0293569000205,0
606,99,1,0
fixation,99,0.500088400003733,0
609,99,1,0
fixation,99,0.500157300004503,0
600,1,0.371913299983134,0
fixation,99,1.12853220000397,0
605,99,1,0
fixation,99,0.500071599992225,0
602,99,1,0
fixation,99,0.500216899992665,0
600,1,0.411784299998544,0
fixation,99,1.08906660001958,0
222,1,0.386414099979447,0
fixation,99,1.11384490001365,0
609,99,1,0
fixation,99,0.500087099993834,0
415,99,1,0
fixation,99,0.500082799990196,0
606,99,1,0
fixation,99,0.500180000002729,0
606,99,1,0
fixation,99,0.500094800023362,0
602,99,1,0
fixation,99,0.500005300011253,0
609,99,1,0
fixation,99,0.500113899994176,0
322,99,1,0
fixation,99,0.500031399977161,0
604,99,1,0
